Rohvariablenname,Tatsächlich verwendete Spalte,Kategorie,Unterkategorie,Merkmal,Hypothese,Haupttext,Anhang,Technisch/auswertungsbezogen,Reihenfolge,Datentyp,Im Datensatz verfügbar
topic_share__3,topic_share__3,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 3,Zusatzmetrik,nein,ja,nein,918,numeric,ja
topic_share__4,topic_share__4,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 4,Zusatzmetrik,nein,ja,nein,919,numeric,ja
topic_share__5,topic_share__5,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 5,Zusatzmetrik,nein,ja,nein,920,numeric,ja
topic_share__6,topic_share__6,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 6,Zusatzmetrik,nein,ja,nein,921,numeric,ja
topic_share__7,topic_share__7,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 7,Zusatzmetrik,nein,ja,nein,922,numeric,ja
topic_share__8,topic_share__8,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 8,Zusatzmetrik,nein,ja,nein,923,numeric,ja
topic_share__9,topic_share__9,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 9,Zusatzmetrik,nein,ja,nein,924,numeric,ja
topic_share__10,topic_share__10,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 10,Zusatzmetrik,nein,ja,nein,925,numeric,ja
topic_share__11,topic_share__11,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 11,Zusatzmetrik,nein,ja,nein,926,numeric,ja
topic_share__12,topic_share__12,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 12,Zusatzmetrik,nein,ja,nein,927,numeric,ja
topic_share__13,topic_share__13,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 13,Zusatzmetrik,nein,ja,nein,928,numeric,ja
topic_share__14,topic_share__14,Textuelle Merkmale,Textuelle Merkmale,Topic-Anteil 14,Zusatzmetrik,nein,ja,nein,929,numeric,ja
